Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,answer_column_number,answer_value,answerB_value,char1_value,char1_value,char2_value,char2_value,click_choice_frame_1,click_choice_frame_1,click_choice_frame_1,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_3,click_choice_Frame_3,click_choice_Frame_3,Condition_Id,copy_of_frec_3126,copy_of_questionB_value,current_answer,frec,frec_value,has_question_column_number,has_question_value,index_value,key_pressed_Frame_3,key_pressed_sentence,question_column_number,question_value,question_value,questionB_value,reaction_time_frame_1,reaction_time_frame_1,reaction_time_frame_1,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_3,reaction_time_Frame_3,reaction_time_Frame_3,RT_sentence,sentence_line1_value,sentence_line2_value,sentence1_value,sentence1_value,sentence1B_value,sentence2_column_nr,sentence2B_value,sentenceA_line2_value,trial_end,trial_start,word_high_value,word_high_value,word_low_value,word_low_value
1369495,1,1,block_1,1,instructions,1,"","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1369495,1,3,block_1,1,prac_task,2,8,SI,"","","","","","","","","","","","","","",1,"","",1,"","",9,1,"","",undefined,7,"","","","","","","","","","","","",1976,El niño no quería,quedarse en casa.,"","","",5,"","",1750855476643,1750855474668,"","","",""
1369495,1,1,block_1,1,end_practice,3,"","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1369495,1,90,block_1,1,experimentaltask_B,4,8,SI,"","","","","","","","","","","","","","",1,"","",1,"","",9,1,SI,"",undefined,7,¿Van cortos de tiempo?,¿Van cortos de tiempo?,"","","","","","","","","","",4462,No podremos terminar las,galletas esta tarde. ,"","","",5,"","",1750855522483,1750855518021,"","","",""
1369495,1,1,block_1,1,outro,5,"","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1369495,2,1,block_1,1,prac_task,2,8,NO,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,SI,"",undefined,7,"","","","","","","","","","","","",2085,No hemos llegado todavía,al parque de atracciones.,"","","",5,"","",1750855481251,1750855479166,"","","",""
1369495,2,69,block_1,1,experimentaltask_B,4,8,SI,"","","","","","","","","","","","","","",1,"","",1,"","",9,1,SI,"",undefined,7,¿Serán refrescantes?,¿Serán refrescantes?,"","","","","","","","","","",2189,Con el calor las bebidas,frías vienen muy bien. ,"","","",5,"","",1750855527051,1750855524863,"","","",""
1369495,3,5,block_1,1,prac_task,2,8,NO,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,"","",undefined,7,"","","","","","","","","","","","",1641,La pared está manchada,de pintura verde.,"","","",5,"","",1750855484923,1750855483282,"","","",""
1369495,3,41,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2245,Cuantos más puntos haces,más puedes ganar. ,"","","",5,"","",1750855531133,1750855528887,"","","",""
1369495,4,4,block_1,1,prac_task,2,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2589,Cuando suene la sirena,saldrán por la puerta.,"","","",5,"","",1750855489196,1750855486608,"","","",""
1369495,4,98,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",4261,Podremos ver diferentes,ocasiones para actuar. ,"","","",5,"","",1750855535675,1750855531414,"","","",""
1369495,5,2,block_1,1,prac_task,2,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2226,Espero que este verano,sea algo más fresco.,"","","",5,"","",1750855491694,1750855489468,"","","",""
1369495,5,29,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2143,Hay que preparar las,obras para la casa. ,"","","",5,"","",1750855538091,1750855535949,"","","",""
1369495,6,12,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2032,Para recorrer el mundo,necesitarás ayuda. ,"","","",5,"","",1750855540430,1750855538397,"","","",""
1369495,7,34,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1597,El profesor dibujó un,número en la pizarra. ,"","","",5,"","",1750855542307,1750855540710,"","","",""
1369495,8,18,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2630,No sé cómo terminar la,serie de números. ,"","","",5,"","",1750855545206,1750855542576,"","","",""
1369495,9,74,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2634,Aunque el universo parece,"basto, es asombroso. ","","","",5,"","",1750855548140,1750855545506,"","","",""
1369495,10,14,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2191,Quiero ir al grupo para,hablarlo con todos.,"","","",5,"","",1750855550612,1750855548422,"","","",""
1369495,11,71,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1995,Mañana el amanecer será,precioso. ,"","","",5,"","",1750855552875,1750855550880,"","","",""
1369495,12,53,block_1,1,experimentaltask_B,4,8,NO,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,NO,"",undefined,7,¿Se encontraba bien?,¿Se encontraba bien?,"","","","","","","","","","",2242,Esta mañana fui enfermo a,trabajar. ,"","","",5,"","",1750855555419,1750855553177,"","","",""
1369495,13,36,block_1,1,experimentaltask_B,4,8,NO,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,NO,"",undefined,7,¿Quedó limpia la ciudad?,¿Quedó limpia la ciudad?,"","","","","","","","","","",2126,Después del partido la,ciudad quedó sucia. ,"","","",5,"","",1750855559316,1750855557190,"","","",""
1369495,14,51,block_1,1,experimentaltask_B,4,8,SI,"","","","","","","","","","","","","","",1,"","",1,"","",9,1,SI,"",undefined,7,¿Fue útil el profesional?,¿Fue útil el profesional?,"","","","","","","","","","",2193,En la empresa el nuevo,experto ayudó mucho. ,"","","",5,"","",1750855564140,1750855561946,"","","",""
1369495,15,84,block_1,1,experimentaltask_B,4,8,SI,"","","","","","","","","","","","","","",1,"","",1,"","",9,1,SI,"",undefined,7,¿Le agradan los consejos?,¿Le agradan los consejos?,"","","","","","","","","","",2225,Me gustan los consejos,que me das siempre. ,"","","",5,"","",1750855568363,1750855566139,"","","",""
1369495,16,57,block_1,1,experimentaltask_B,4,8,SI,"","","","","","","","","","","","","","",1,"","",1,"","",9,1,NO,"",undefined,7,¿Compraron la obra?,¿Compraron la obra?,"","","","","","","","","","",2174,Durante la subasta la,pintura se vendió. ,"","","",5,"","",1750855572235,1750855570061,"","","",""
1369495,17,61,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1819,Nadie se esperaba los,regalos de este año. ,"","","",5,"","",1750855575573,1750855573754,"","","",""
1369495,18,40,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2613,Al final del juego la,verdad sale a la luz. ,"","","",5,"","",1750855578491,1750855575878,"","","",""
1369495,19,83,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2215,Los diferentes sistemas,funcionan adecuadamente. ,"","","",5,"","",1750855580974,1750855578760,"","","",""
1369495,20,43,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2481,Seguro que tus amigos,están a punto de llegar. ,"","","",5,"","",1750855583732,1750855581252,"","","",""
1369495,21,60,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2192,Tener buena calidad es,fundamental para vender.,"","","",5,"","",1750855586227,1750855584036,"","","",""
1369495,22,77,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2603,Creo que podemos mejorar,esta escalera tan vieja.,"","","",5,"","",1750855589130,1750855586528,"","","",""
